,identificador,ssoo,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,0,1,Predict,Y
3298,48249u,1,26.0,1,1,9.0,1.0,1.0,18.0,1.0,1.0,17,140,56,75.0588235294,0.0,0.0,53.0,12.0588235294,0.0,1.0,1,1
3299,48267u,0,30.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,51,629,181,117.274509804,0.0,0.0,30.0,87.274509804,1.0,0.0,0,0
3300,48273u,0,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,48,754,221,215.916666667,0.0,0.0,9.0,206.916666667,1.0,0.0,0,0
3301,4829u,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,93,653,282,61.8494623656,0.0,0.0,2.0,59.8494623656,1.0,0.0,0,0
3302,48301u,1,4.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,51,473,184,262.156862745,0.0,0.0,4.0,258.156862745,1.0,0.0,0,0
3303,48304u,0,33.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,22,300,98,247.409090909,0.0,0.0,33.0,214.409090909,1.0,0.0,0,0
3304,48307u,0,4.54545454545,11,9,2.2,5.0,5.0,9.2,5.0,5.0,65,493,265,93.9230769231,0.0,0.0,15.9454545454,74.7776223777,0.0,1.0,1,1
3305,48309u,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,52,660,215,458.942307692,0.0,0.0,9.0,449.942307692,1.0,0.0,0,0
3306,48322u,1,54.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,46,456,144,293.5,0.0,0.0,54.0,239.5,1.0,0.0,0,0
3307,48333u,0,0.0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,28,569,191,391.178571429,0.0,0.0,1.0,390.178571429,0.1,0.9,1,1
3308,48349u,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,17,362,103,561.823529412,0.0,0.0,2.0,559.823529412,1.0,0.0,0,0
3309,48362u,0,2.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,98,593,340,43.112244898,0.0,0.0,2.0,41.112244898,1.0,0.0,0,0
3310,48373u,1,4.0,2,1,11.0,1.0,1.0,0.0,0.0,0.0,108,600,270,269.87962963,0.0,0.0,15.0,254.87962963,1.0,0.0,0,0
3311,48384u,0,15.5,2,2,6.0,1.0,1.0,15.0,1.0,1.0,40,245,116,48.325,0.0,0.0,36.5,7.825,0.0,1.0,1,1
3312,4838u,1,18.5714285714,7,2,11.5,4.0,2.0,286.5,2.0,2.0,18,257,90,280.111111111,0.0,0.0,316.571428571,-52.4603174604,0.6,0.4,0,1
3313,48392u,0,21.75,4,4,9.0,2.0,2.0,13.0,2.0,1.0,110,855,421,114.554545455,0.0,0.0,43.75,65.804545455,0.1,0.9,1,1
3314,48398u,1,19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,55,610,237,247.527272727,0.0,0.0,19.0,228.527272727,1.0,0.0,0,0
3315,48408u,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,23,230,87,321.869565217,0.0,0.0,2.0,319.869565217,1.0,0.0,0,0
3316,4840u,1,13.3333333333,6,4,8.66666666667,3.0,2.0,12.5,2.0,2.0,159,1319,520,152.352201258,0.0,0.0,34.5,109.852201258,0.1,0.9,1,1
3317,48418u,1,5.6875,16,12,0.0,0.0,0.0,0.0,0.0,0.0,16,224,75,161.25,0.0,0.0,5.6875,155.5625,1.0,0.0,0,0
3318,4842u,1,68.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,34,478,138,301.088235294,0.0,0.0,68.5,232.588235294,1.0,0.0,0,0
