identificador,ssoo,profundidad,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,avg_tiempo_pag4,vistas_pag4,vistas_unicas_pag4,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,Y
291286u,0,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37,8,188.0,0.0,0.0,5.0,183.0,0
291302u,1,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,102,46,157.666666667,0.0,0.0,9.0,148.666666667,0
291310u,0,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,97,49,48.3125,0.0,0.0,5.0,43.3125,0
291316u,0,4,15.0,1,1,5.0,1.0,1.0,16.0,1.0,1.0,3.0,1.0,1.0,13,182,73,165.0,0.0,0.0,36.0,126.0,1
291333u,0,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,182,40,1077.0,0.0,0.0,8.0,1069.0,0
291335u,1,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,636,227,401.076923077,0.0,0.0,4.0,397.076923077,0
291336u,1,2,8.0,3,1,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,371,140,265.529411765,0.0,0.0,26.0,239.529411765,0
291344u,0,1,13.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,326,149,277.696969697,0.0,0.0,13.0,264.696969697,0
29136u,0,1,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,152,52,259.428571429,0.0,0.0,11.0,248.428571429,0
29137u,1,4,9.5,4,2,8.0,3.0,2.0,12.3333333333,3.0,2.0,2.5,2.0,2.0,29,316,124,168.206896552,1.0,0.0,29.8333333333,135.873563219,1
291382u,0,4,15.0,1,1,4.0,1.0,1.0,9.0,1.0,1.0,6.0,1.0,1.0,13,121,56,92.0769230769,0.0,0.0,28.0,58.0769230769,1
291389u,2,1,5.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,367,137,458.428571429,0.0,0.0,5.5,452.928571429,0
291427u,1,2,7.66666666667,3,1,9.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108,746,331,142.314814815,0.0,0.0,17.1666666667,125.148148148,0
29142u,1,1,12.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,524,241,131.28125,0.0,0.0,12.0,119.28125,0
291435u,0,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,598,215,307.807692308,0.0,0.0,4.0,303.807692308,0
291437u,1,2,7.5,4,1,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58,308,129,398.586206897,0.0,0.0,17.5,381.086206897,0
291442u,1,2,6.0,2,1,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54,535,178,350.203703704,0.0,0.0,28.0,322.203703704,0
29146u,1,4,9.5,2,1,10.0,1.0,1.0,65.0,1.0,1.0,14.0,1.0,1.0,79,451,201,72.253164557,0.0,0.0,84.5,-26.246835443,1
291487u,0,1,21.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,1316,580,140.587301587,0.0,0.0,21.0,119.587301587,0
291488u,1,4,0.0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,154,479,347,41.3116883117,0.0,0.0,0.0,41.3116883117,1
291489u,1,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,388,163,109.467741935,0.0,0.0,2.0,107.467741935,0
291491u,1,1,68.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,447,162,237.119402985,0.0,0.0,68.0,169.119402985,0
291493u,1,4,9.33333333333,3,2,6.5,2.0,1.0,10.0,1.0,1.0,3.0,1.0,1.0,88,757,265,175.568181818,0.0,0.0,25.8333333333,146.734848485,1
291507u,1,1,16.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,620,206,267.666666667,0.0,0.0,16.0,251.666666667,0
